City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Arlington,,,-,1,7,8
Rupert,,,-,1,3,4
Sunderland,,,-,0,1,1
TOTALS,,,-,2,11,13
