City/Town,Ward,Pct,"Janice L. Peaslee",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,12,0,0,12
Brunswick,,,9,0,1,10
Concord,,,34,4,2,40
Granby,,,19,0,2,21
Guildhall,,,24,1,3,28
Kirby,,,37,1,1,39
Lunenburg,,,44,3,4,51
Maidstone,,,11,2,1,14
Victory,,,7,0,1,8
TOTALS,,,197,11,15,223
