City/Town,Ward,Pct,"Cathy Voyer",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,38,1,5,44
Cambridge,,,127,11,36,174
Elmore,,,98,26,43,167
"Hyde Park",,,333,0,50,383
Jay,,,0,17,5,22
Johnson,,,162,30,78,270
Morristown,,,520,120,225,865
Stowe,,,354,5,69,428
Waterville,,,51,8,24,83
TOTALS,,,"1,683",218,535,"2,436"
