City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,26,22,0,14,62
Brookline,,,34,33,0,22,89
Grafton,,,52,51,1,18,122
Rockingham,,,566,485,17,198,"1,266"
Westminster,,,25,19,0,6,50
Windham,,,27,25,2,12,66
TOTALS,,,730,635,20,270,"1,655"
