City/Town,Ward,Pct,"John M. Sanfacon","Wilson D. Brett",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"E. Montpelier",,,120,30,1,11,162
Middlesex,,,39,69,0,3,111
TOTALS,,,159,99,1,14,273
