City/Town,Ward,Pct,"Kathleen C. Keenan","Timothy R. Burgess",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,231,175,46,202,654
TOTALS,,,231,175,46,202,654
