City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Alburgh,,,-,0,2,2
"Grand Isle",,,-,3,15,18
"Isle La Motte",,,-,1,1,2
Milton,,,-,2,0,2
"N. Hero",,,-,4,4,8
"S. Hero",,,-,2,4,6
TOTALS,,,-,12,26,38
