City/Town,Ward,Pct,"James Gregoire",Write-Ins,Blanks,"Total Votes Cast"
,,,
Fairfield,,,17,9,23,49
Fletcher,,,12,3,18,33
"St. Albans Town",,,96,16,154,266
TOTALS,,,125,28,195,348
