City/Town,Ward,Pct,"Leo M. Valliere","Ruth H. Towne",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"Barre City",,,100,0,4,13,117
Berlin,,,0,84,3,6,93
TOTALS,,,100,84,7,19,210
