City/Town,Ward,Pct,"Warren Miller","Shaun C. Bryer","George S. Gruner",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Elmore,,,132,62,45,6,93,338
Morristown,,,526,479,303,40,380,"1,728"
Woodbury,,,32,24,37,3,25,121
Worcester,,,60,15,26,0,33,134
TOTALS,,,750,580,411,49,531,"2,321"
