City/Town,Ward,Pct,"Rick Hube",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jamaica,,,39,1,2,42
Londonderry,,,47,1,2,50
Stratton,,,8,0,0,8
Weston,,,30,0,3,33
Winhall,,,45,0,4,49
TOTALS,,,169,2,11,182
