City/Town,Ward,Pct,"S. Wells Smith","Bob Bland",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,30,41,3,38,112
Corinth,,,84,35,1,52,172
Orange,,,11,9,0,22,42
Vershire,,,28,40,0,30,98
Washington,,,29,23,0,32,84
Williamstown,,,35,23,8,68,134
TOTALS,,,217,171,12,242,642
