City/Town,Ward,Pct,"Steve Larrabee",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cabot,,,19,0,2,21
Danville,-,"Danville School",0,0,0,0
Danville,-,"Town Hall",101,1,6,108
Peacham,,,28,1,2,31
TOTALS,,,148,2,10,160
