City/Town,Ward,Pct,"William Johnson",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brighton,,,49,5,0,54
Canaan,,,67,0,0,67
"E. Haven",,,13,0,1,14
Lemington,,,15,0,0,15
Newark,,,24,0,1,25
Norton,,,17,1,1,19
Westmore,,,13,0,3,16
TOTALS,,,198,6,6,210
