City/Town,Ward,Pct,"Harry L. Chen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,34,6,14,54
Chittenden,,,32,0,5,37
Killington,,,27,3,9,39
Mendon,,,24,0,5,29
TOTALS,,,117,9,33,159
