City/Town,Ward,Pct,"Michael J. Badamo","Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
Newbury,-,"West River Village",1,1,0,0,2
Newfane,,,5,4,2,0,11
"Newport City",,,5,3,1,0,9
"Newport Town",,,1,1,2,0,4
"N. Hero",,,2,1,1,0,4
Northfield,,,5,2,2,0,9
Norwich,,,9,2,2,0,13
Orwell,,,0,2,0,0,2
Panton,,,2,0,3,0,5
Peacham,,,6,0,0,0,6
Peru,,,0,1,1,0,2
Pittsfield,,,0,1,1,0,2
Pittsford,,,4,1,0,0,5
Plainfield,,,4,3,2,0,9
Plymouth,,,0,2,0,0,2
Pownal,,,1,3,0,0,4
Proctor,,,1,0,1,0,2
Putney,,,12,4,1,0,17
Randolph,,,3,1,2,0,6
Reading,,,1,1,0,0,2
Richford,,,1,1,0,0,2
Richmond,,,5,1,6,0,12
Ripton,,,0,1,0,0,1
Rochester,,,7,3,2,0,12
Rockingham,,,4,4,2,0,10
Roxbury,,,2,3,1,0,6
Royalton,,,2,1,2,0,5
Rupert,,,4,1,0,0,5
"Rutland City",-,"Rutland 5-1",2,0,2,0,4
"Rutland City",-,"Rutland 5-2",4,1,3,0,8
"Rutland City",-,"Rutland 5-3",0,2,2,0,4
"Rutland City",-,"Rutland 5-4",6,3,1,0,10
"Rutland Town",,,0,2,2,0,4
Ryegate,,,2,1,1,0,4
Salisbury,,,1,1,2,0,4
Searsburg,,,0,1,0,0,1
Shaftsbury,,,4,0,2,0,6
Sharon,,,0,1,0,0,1
Sheffield,,,1,0,0,0,1
Shelburne,-,"Chittenden 5-1",8,2,2,0,12
Shelburne,-,"Chittenden 5-2",2,2,0,0,4
Shrewsbury,,,0,0,4,0,4
"S. Burlington",-,"Chittenden 3-10",7,1,1,0,9
"S. Burlington",-,"Chittenden 3-7",16,0,4,0,20
"S. Burlington",-,"Chittenden 3-8",16,1,3,0,20
"S. Burlington",-,"Chittenden 3-9",4,2,1,0,7
"S. Hero",,,1,1,1,0,3
Springfield,-,"Windsor 1-1",0,0,0,0,0
Springfield,-,"Windsor 1-2",25,27,0,0,52
"St. Albans City",,,6,3,0,0,9
"St. Albans Town",,,3,4,0,0,7
