City/Town,Ward,Pct,"Stephen W. Webster","Kenneth Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,65,55,3,30,153
Brookfield,,,72,49,6,39,166
Granville,,,4,8,0,4,16
Randolph,,,225,203,19,174,621
TOTALS,,,366,315,28,247,956
