City/Town,Ward,Pct,"Everett Coffey",Write-Ins,Blanks,"Total Votes Cast"
,,,
Duxbury,,,27,8,44,79
Huntington,,,25,0,31,56
Waterbury,,,84,4,131,219
TOTALS,,,136,12,206,354
