City/Town,Ward,Pct,"Perry D. Waite",Write-Ins,Blanks,"Total Votes Cast"
,,,
Clarendon,,,0,7,79,86
Proctor,,,0,1,80,81
"W. Rutland",,,0,8,66,74
TOTALS,,,0,16,225,241
