City/Town,Ward,Pct,"Albert Joseph Perry","Richard J. Noel",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berkshire,,,29,12,4,27,72
Franklin,,,47,36,4,46,133
Highgate,,,59,72,5,44,180
Richford,,,54,25,3,48,130
TOTALS,,,189,145,16,165,515
