City/Town,Ward,Pct,"Clifford Eardensohn",Write-Ins,Blanks,"Total Votes Cast"
,,,
Fayston,,,29,1,6,36
Waitsfield,,,66,0,8,74
Warren,,,40,2,9,51
TOTALS,,,135,3,23,161
