City/Town,Ward,Pct,"Norman H. McAllister","Joe Larose",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berkshire,,,17,22,8,11,58
Franklin,,,33,28,0,29,90
Highgate,,,54,41,4,31,130
Richford,,,33,42,6,17,98
TOTALS,,,137,133,18,88,376
