City/Town,Ward,Pct,"Wayne G. Kenyon","Beth Kendall",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bradford,,,137,38,3,8,186
Fairlee,,,40,9,1,2,52
"W. Fairlee",,,18,17,0,0,35
TOTALS,,,195,64,4,10,273
