City/Town,Ward,Pct,"Anthony Pollina",Write-Ins,Blanks,"Total Votes Cast"
Randolph,,,4,0,0,4
Reading,,,3,0,0,3
Richford,,,2,0,0,2
Richmond,,,7,0,0,7
Ripton,,,1,0,0,1
Rochester,,,14,0,0,14
Rockingham,,,10,0,0,10
Roxbury,,,6,0,0,6
Royalton,,,5,0,0,5
Rupert,,,6,0,0,6
"Rutland City",-,"Rutland 5-1",4,0,0,4
"Rutland City",-,"Rutland 5-2",5,0,0,5
"Rutland City",-,"Rutland 5-3",4,0,0,4
"Rutland City",-,"Rutland 5-4",12,0,0,12
"Rutland Town",,,4,0,0,4
Ryegate,,,4,0,0,4
Salisbury,,,2,0,0,2
Shaftsbury,,,6,0,0,6
Sharon,,,1,0,0,1
Sheffield,,,1,0,0,1
Shelburne,-,"Chittenden 5-1",10,0,0,10
Shelburne,-,"Chittenden 5-2",2,0,0,2
Shrewsbury,,,5,0,0,5
"S. Burlington",-,"Chittenden 3-10",6,0,0,6
"S. Burlington",-,"Chittenden 3-7",11,0,0,11
"S. Burlington",-,"Chittenden 3-8",6,0,0,6
"S. Burlington",-,"Chittenden 3-9",5,0,0,5
"S. Hero",,,2,0,0,2
Springfield,-,"Windsor 1-1",0,0,0,0
Springfield,-,"Windsor 1-2",49,0,0,49
"St. Albans City",,,7,0,0,7
"St. Albans Town",,,8,0,0,8
"St. Johnsbury",,,9,0,0,9
Starksboro,,,3,0,0,3
Stockbridge,,,2,0,0,2
Stowe,,,3,0,0,3
Strafford,,,6,0,0,6
Stratton,,,1,0,0,1
Sunderland,,,1,0,0,1
Sutton,,,1,0,0,1
Swanton,,,7,0,0,7
Thetford,,,12,0,0,12
Topsham,,,4,0,0,4
Townshend,,,3,0,0,3
Tunbridge,,,2,0,0,2
Underhill,,,16,0,0,16
Vergennes,,,1,0,0,1
Vershire,,,2,0,0,2
Waitsfield,,,11,0,0,11
Walden,,,6,0,0,6
Wallingford,,,2,0,0,2
Waltham,,,1,0,0,1
Wardsboro,,,1,0,0,1
Warren,,,13,0,0,13
Washington,,,5,0,0,5
Waterbury,,,11,0,0,11
Waterford,,,2,0,0,2
Waterville,,,2,0,0,2
Weathersfield,,,6,0,0,6
Wells,,,4,0,0,4
"W. Fairlee",,,4,0,0,4
"W. Rutland",,,3,0,0,3
"W. Windsor",,,2,0,0,2
Westfield,,,5,0,0,5
Westford,,,10,0,0,10
Westminster,-,"Windham Ward 4",2,0,0,2
Westminster,-,"Windham Ward 5",16,0,0,16
Westmore,,,1,0,0,1
Weston,,,3,0,0,3
Weybridge,,,7,0,0,7
Wheelock,,,3,0,0,3
Whiting,,,1,0,0,1
Whitingham,,,1,0,0,1
Williamstown,,,2,0,0,2
Williston,,,16,0,0,16
Wilmington,,,9,0,0,9
Windsor,,,4,0,0,4
Winhall,,,1,0,0,1
Winooski,,,6,0,0,6
Woodbury,,,10,0,0,10
Woodstock,,,8,0,0,8
Worcester,,,6,0,0,6
TOTALS,,,"1,664",0,0,"1,664"
