City/Town,Ward,Pct,"David Zuckerman","Bob Kiss",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,-,"Edmunds Ward 6",2,1,1,1,5
Burlington,-,"M.christi Ward 1",38,35,1,6,80
Burlington,-,"Wheeler Ward 2",19,17,2,2,40
TOTALS,,,59,53,4,9,125
