City/Town,Ward,Pct,"Bob Weeks",Write-Ins,Blanks,"Total Votes Cast"
,,,
Shrewsbury,,,56,3,9,68
Tinmouth,,,25,5,1,31
Wallingford,,,119,4,24,147
TOTALS,,,200,12,34,246
