City/Town,Ward,Pct,"Chris Richter",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,39,1,1,41
Whitingham,,,74,3,4,81
Wilmington,,,101,11,10,122
TOTALS,,,214,15,15,244
