City/Town,Ward,Pct,"J. Yorke Peeler","Jim Masland","Ann Seibert",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Groton,,,25,0,0,0,7,32
Newbury,-,"Center Town House",9,0,4,13
Newbury,-,"Town Ofc. Bldg.",60,2,5,67
Newbury,-,"West River Village",25,1,3,29
Topsham,,,0,0,0,19,5,24
TOTALS,,,119,0,0,22,24,165
