City/Town,Ward,Pct,"Alex B. McHenry","Steve Green",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"Barre City",,,122,0,4,55,181
Berlin,,,0,83,9,41,133
TOTALS,,,122,83,13,96,314
