City/Town,Ward,Pct,"Steve Hingtgen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Burlington,-,"Barnes Ward 3",59,41,10,110
Burlington,-,"Bed Ward 5",2,1,1,4
Burlington,-,"Edmunds Ward 6",2,0,2,4
Burlington,-,"Lymanhunt Ward 7",4,1,1,6
Burlington,-,"Wheeler Ward 2",12,4,1,17
TOTALS,,,79,47,15,141
