City/Town,Ward,Pct,"Ann Seibert","Jim Masland",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Norwich,,,427,322,6,375,"1,130"
Sharon,,,70,67,0,55,192
Strafford,,,84,67,0,36,187
Thetford,,,115,183,1,109,408
TOTALS,,,696,639,7,575,"1,917"
