City/Town,Ward,Pct,"Rosemary McLaughlin","Walter E. Hastings",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Royalton,,,175,148,0,4,327
Tunbridge,,,98,22,0,0,120
TOTALS,,,273,170,0,4,447
