City/Town,Ward,Pct,"Richard J. Howrigan","George Allard",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfield,,,99,66,8,62,235
Fletcher,,,22,15,0,29,66
"St. Albans Town",,,120,151,5,142,418
TOTALS,,,241,232,13,233,719
