City/Town,Ward,Pct,"Kinny Connell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Fayston,,,52,0,11,63
Waitsfield,,,72,1,15,88
Warren,,,67,0,14,81
TOTALS,,,191,1,40,232
