City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Halifax,,,-,1,0,1
Whitingham,,,-,1,1,2
Wilmington,,,-,5,3,8
TOTALS,,,-,7,4,11
