City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 7-1",129,1,26,156
Colchester,-,"Chittenden 7-2",174,0,24,198
"Grand Isle",,,269,11,53,333
"Isle La Motte",,,11,10,45,66
"N. Hero",,,71,7,11,89
"S. Hero",,,286,5,35,326
TOTALS,,,940,34,194,"1,168"
