City/Town,Ward,Pct,"Ward Mann",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cornwall,,,52,0,14,66
Goshen,,,27,0,3,30
Hancock,,,25,0,0,25
Leicester,,,68,1,7,76
Ripton,,,17,0,4,21
Salisbury,,,40,0,4,44
TOTALS,,,229,1,32,262
