City/Town,Ward,Pct,"Lawrence E. Molloy","Perry D. Waite",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,88,0,4,14,106
Rupert,,,2,20,0,1,23
Sandgate,,,16,0,0,4,20
Sunderland,,,23,0,1,2,26
TOTALS,,,129,20,5,21,175
