City/Town,Ward,Pct,"John Patrick Tracy","Gail L. Compton",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,-,"Barnes Ward 3",111,87,7,24,229
Burlington,-,"Bed Ward 5",5,5,0,5,15
Burlington,-,"Edmunds Ward 6",5,7,1,3,16
Burlington,-,"Lymanhunt Ward 7",14,14,1,5,34
Burlington,-,"Wheeler Ward 2",29,30,1,14,74
TOTALS,,,164,143,10,51,368
