City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,56,3,12,71
Brookfield,,,101,1,18,120
Chelsea,,,44,3,9,56
Corinth,,,73,1,12,86
Randolph,,,268,12,92,372
Strafford,,,87,0,7,94
Thetford,,,190,0,14,204
Topsham,,,0,0,48,48
Tunbridge,,,99,1,21,121
Vershire,,,46,0,3,49
Washington,,,32,1,9,42
Williamstown,,,51,4,12,67
TOTALS,,,"1,047",26,257,"1,330"
