City/Town,Ward,Pct,"David L. Deen","Steve Darrow",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Dummerston,,,211,193,3,127,534
Putney,,,286,201,18,232,737
Westminster,,,338,249,14,255,856
TOTALS,,,835,643,35,614,"2,127"
