City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,25,0,0,25
Albany,,,30,0,0,30
Alburgh,,,168,0,0,168
Andover,,,17,0,0,17
Arlington,,,77,0,0,77
Athens,,,21,0,0,21
Bakersfield,,,44,0,0,44
Baltimore,,,8,0,0,8
Barnard,,,35,0,0,35
Barnet,,,25,0,0,25
"Barre City",-,"Washington 3-1",154,0,0,154
"Barre City",-,"Washington 3-2",113,0,0,113
"Barre City",-,"Washington 3-3",23,0,0,23
"Barre Town",,,334,0,0,334
Barton,-,"Barton Memorial",29,0,0,29
Barton,-,"Orleans Memorial",21,0,0,21
Belvidere,,,6,0,0,6
Bennington,-,"Bennington 2-1",205,0,0,205
Bennington,-,"Bennington 2-1 Nb",45,0,0,45
Bennington,-,"Bennington 2-2",164,0,0,164
Bennington,-,"Bennington 5",2,0,0,2
Benson,,,20,0,0,20
Berkshire,,,28,0,0,28
Berlin,,,92,0,0,92
Bethel,,,69,0,0,69
Bloomfield,,,8,0,0,8
Bolton,,,33,0,0,33
Bradford,,,144,0,0,144
Braintree,,,59,0,0,59
Brandon,,,247,0,0,247
Brattleboro,-,"Windham 3-1",320,0,0,320
Brattleboro,-,"Windham 3-2",297,0,0,297
Brattleboro,-,"Windham 3-3",325,0,0,325
Bridgewater,,,42,0,0,42
Bridport,,,21,0,0,21
Brighton,,,21,0,0,21
Bristol,,,128,0,0,128
Brookfield,,,100,0,0,100
Brookline,,,34,0,0,34
Brownington,,,18,0,0,18
Brunswick,,,5,0,0,5
Burke,,,32,0,0,32
Burlington,-,"Chittenden 3-1 Ward 4",285,0,0,285
Burlington,-,"Chittenden 3-1 Ward 7",110,0,0,110
Burlington,-,"Chittenden 3-2 Ward 2",16,0,0,16
Burlington,-,"Chittenden 3-2 Ward 3",14,0,0,14
Burlington,-,"Chittenden 3-2 Ward 4",66,0,0,66
Burlington,-,"Chittenden 3-2 Ward 7",108,0,0,108
Burlington,-,"Chittenden 3-3 Ward 2",41,0,0,41
Burlington,-,"Chittenden 3-3 Ward 3",122,0,0,122
Burlington,-,"Chittenden 3-3 Ward 5",7,0,0,7
Burlington,-,"Chittenden 3-3 Ward 6",11,0,0,11
Burlington,-,"Chittenden 3-3 Ward 7",19,0,0,19
Burlington,-,"Chittenden 3-4 Ward 1",123,0,0,123
Burlington,-,"Chittenden 3-4 Ward 2",48,0,0,48
Burlington,-,"Chittenden 3-4 Ward 6",21,0,0,21
Burlington,-,"Chittenden 3-5 Ward 5",367,0,0,367
Burlington,-,"Chittenden 3-5 Ward 6",265,0,0,265
Burlington,-,"Chittenden 3-6 Ward 1",50,0,0,50
Cabot,,,37,0,0,37
Calais,,,134,0,0,134
Cambridge,,,74,0,0,74
Canaan,,,20,0,0,20
Castleton,,,47,0,0,47
Cavendish,,,42,0,0,42
Charleston,,,19,0,0,19
Charlotte,,,141,0,0,141
Chelsea,,,44,0,0,44
Chester,,,89,0,0,89
Chittenden,,,25,0,0,25
Clarendon,,,33,0,0,33
Colchester,-,"Chittenden 7-1",130,0,0,130
Colchester,-,"Chittenden 7-2",167,0,0,167
Concord,,,24,0,0,24
Corinth,,,66,0,0,66
Cornwall,,,73,0,0,73
Coventry,,,9,0,0,9
Craftsbury,,,72,0,0,72
Danby,,,22,0,0,22
Danville,,,49,0,0,49
Derby,,,125,0,0,125
Dorset,,,27,0,0,27
Dover,,,29,0,0,29
Dummerston,,,194,0,0,194
Duxbury,,,61,0,0,61
"E. Haven",,,9,0,0,9
"E. Montpelier",,,167,0,0,167
Eden,,,15,0,0,15
Elmore,,,47,0,0,47
Enosburgh,,,55,0,0,55
Essex,-,"Chittenden 6-1",108,0,0,108
Essex,-,"Chittenden 6-2",180,0,0,180
Essex,-,"Chittenden 6-3",45,0,0,45
"Fair Haven",,,28,0,0,28
Fairfax,,,120,0,0,120
Fairfield,,,91,0,0,91
Fairlee,,,39,0,0,39
Fayston,,,49,0,0,49
Ferrisburgh,,,98,0,0,98
Fletcher,,,29,0,0,29
Franklin,,,51,0,0,51
Georgia,,,82,0,0,82
Glover,,,38,0,0,38
Goshen,,,7,0,0,7
Grafton,,,46,0,0,46
Granby,,,3,0,0,3
"Grand Isle",,,282,0,0,282
Granville,,,6,0,0,6
Greensboro,,,36,0,0,36
Groton,,,27,0,0,27
Guildhall,,,6,0,0,6
Guilford,,,142,0,0,142
Halifax,,,33,0,0,33
Hancock,,,6,0,0,6
Hardwick,,,202,0,0,202
Hartford,-,"Windsor 6-1",127,0,0,127
Hartford,-,"Windsor 6-2",552,0,0,552
Hartland,,,187,0,0,187
Highgate,,,82,0,0,82
Hinesburg,-,"Chittenden 1-1",154,0,0,154
Hinesburg,-,"Chittenden 1-2",7,0,0,7
Holland,,,14,0,0,14
Hubbardton,,,9,0,0,9
Huntington,,,54,0,0,54
"Hyde Park",,,132,0,0,132
Ira,-,"Rutland 1-1",14,0,0,14
Ira,-,"Rutland 1-2",0,0,0,0
Irasburg,,,21,0,0,21
"Isle La Motte",,,111,0,0,111
Jamaica,,,64,0,0,64
Jay,,,8,0,0,8
Jericho,,,180,0,0,180
Johnson,,,110,0,0,110
Killington,,,27,0,0,27
Kirby,,,34,0,0,34
Landgrove,,,3,0,0,3
Leicester,,,41,0,0,41
Lemington,,,2,0,0,2
Lincoln,,,98,0,0,98
Londonderry,,,39,0,0,39
Lowell,,,26,0,0,26
Ludlow,,,46,0,0,46
Lunenburg,,,26,0,0,26
Lyndon,,,72,0,0,72
Manchester,,,58,0,0,58
Marlboro,,,100,0,0,100
Marshfield,,,68,0,0,68
Mendon,,,21,0,0,21
Middlebury,,,217,0,0,217
Middlesex,,,131,0,0,131
"Middletown Springs",,,30,0,0,30
Milton,-,"Chittenden 9",120,0,0,120
Milton,-,"Grand Isle-Chittenden 1-1",12,0,0,12
Monkton,,,72,0,0,72
Montgomery,,,36,0,0,36
Montpelier,,,813,0,0,813
Moretown,,,97,0,0,97
Morgan,,,18,0,0,18
Morristown,,,208,0,0,208
"Mount Holly",,,37,0,0,37
"Mount Tabor",,,8,0,0,8
"New Haven",,,151,0,0,151
Newark,,,20,0,0,20
Newbury,-,"Center Town House",10,0,0,10
Newbury,-,"Town Office",54,0,0,54
Newbury,-,"West River Village",23,0,0,23
Newfane,,,176,0,0,176
"Newport City",,,75,0,0,75
"Newport Town",,,14,0,0,14
"N. Hero",,,65,0,0,65
Northfield,,,217,0,0,217
Norton,,,6,0,0,6
Norwich,,,426,0,0,426
Orange,,,16,0,0,16
Orwell,,,36,0,0,36
Panton,,,25,0,0,25
Pawlet,,,42,0,0,42
Peacham,,,45,0,0,45
Peru,,,16,0,0,16
Pittsfield,,,16,0,0,16
Pittsford,,,57,0,0,57
Plainfield,,,79,0,0,79
Plymouth,,,8,0,0,8
Pomfret,,,66,0,0,66
Poultney,,,42,0,0,42
Pownal,,,72,0,0,72
Proctor,,,36,0,0,36
Putney,,,246,0,0,246
Randolph,,,297,0,0,297
Reading,,,23,0,0,23
Readsboro,,,42,0,0,42
Richford,,,58,0,0,58
Richmond,,,176,0,0,176
Ripton,,,36,0,0,36
Rochester,,,64,0,0,64
Rockingham,,,488,0,0,488
Roxbury,,,35,0,0,35
Royalton,,,238,0,0,238
Rupert,,,25,0,0,25
"Rutland City",-,"Rutland 5-1",161,0,0,161
"Rutland City",-,"Rutland 5-2",117,0,0,117
"Rutland City",-,"Rutland 5-3",76,0,0,76
"Rutland City",-,"Rutland 5-4",102,0,0,102
