City/Town,Ward,Pct,"Michael S. Bertrand",Write-Ins,Blanks,"Total Votes Cast"
Newfane,,,67,0,0,67
"Newport City",,,222,0,0,222
"Newport Town",,,49,0,0,49
"N. Hero",,,66,0,0,66
Northfield,,,153,0,0,153
Norton,,,18,0,0,18
Norwich,,,44,0,0,44
Orange,,,48,0,0,48
Orwell,,,60,0,0,60
Panton,,,64,0,0,64
Pawlet,,,56,0,0,56
Peacham,,,26,0,0,26
Peru,,,24,0,0,24
Pittsfield,,,29,0,0,29
Pittsford,,,123,0,0,123
Plainfield,,,28,0,0,28
Plymouth,,,24,0,0,24
Pomfret,,,38,0,0,38
Poultney,,,102,0,0,102
Pownal,,,84,0,0,84
Proctor,,,58,0,0,58
Putney,,,60,0,0,60
Randolph,,,256,0,0,256
Reading,,,17,0,0,17
Readsboro,,,19,0,0,19
Richford,,,40,0,0,40
Richmond,,,88,0,0,88
Ripton,,,15,0,0,15
Rochester,,,48,0,0,48
Rockingham,,,88,0,0,88
Roxbury,,,23,0,0,23
Royalton,,,102,0,0,102
Rupert,,,36,0,0,36
"Rutland City",-,"Rutland 5-1",231,0,0,231
"Rutland City",-,"Rutland 5-2",164,0,0,164
"Rutland City",-,"Rutland 5-3",97,0,0,97
"Rutland City",-,"Rutland 5-4",197,0,0,197
"Rutland Town",,,381,0,0,381
Ryegate,,,41,0,0,41
Salisbury,,,34,0,0,34
Sandgate,,,15,0,0,15
Searsburg,,,11,0,0,11
Shaftsbury,,,176,0,0,176
Sharon,,,24,0,0,24
Sheffield,,,23,0,0,23
Shelburne,-,"Chittenden 5-1",124,0,0,124
Shelburne,-,"Chittenden 5-2",104,0,0,104
Sheldon,,,34,0,0,34
Shoreham,,,81,0,0,81
Shrewsbury,,,55,0,0,55
"S. Burlington",-,"Chittenden 3-10",73,0,0,73
"S. Burlington",-,"Chittenden 3-7",99,0,0,99
"S. Burlington",-,"Chittenden 3-8",98,0,0,98
"S. Burlington",-,"Chittenden 3-9",95,0,0,95
"S. Hero",,,110,0,0,110
Springfield,-,"Windsor 1-1",7,0,0,7
Springfield,-,"Windsor 1-2",699,0,0,699
"St. Albans City",,,160,0,0,160
"St. Albans Town",,,105,0,0,105
"St. George",,,5,0,0,5
"St. Johnsbury",,,159,0,0,159
Stamford,,,34,0,0,34
Stannard,,,8,0,0,8
Starksboro,,,43,0,0,43
Stockbridge,,,22,0,0,22
Stowe,,,279,0,0,279
Strafford,,,34,0,0,34
Stratton,,,8,0,0,8
Sudbury,,,37,0,0,37
Sunderland,,,18,0,0,18
Sutton,,,71,0,0,71
Swanton,,,174,0,0,174
Thetford,,,56,0,0,56
Tinmouth,,,25,0,0,25
Topsham,,,71,0,0,71
Townshend,,,75,0,0,75
Troy,,,18,0,0,18
Tunbridge,,,60,0,0,60
Underhill,,,82,0,0,82
Vergennes,,,129,0,0,129
Vernon,,,148,0,0,148
Vershire,,,25,0,0,25
Victory,,,7,0,0,7
Waitsfield,,,62,0,0,62
Walden,,,38,0,0,38
Wallingford,,,115,0,0,115
Waltham,,,46,0,0,46
Wardsboro,,,25,0,0,25
Warren,,,36,0,0,36
Washington,,,33,0,0,33
Waterbury,,,77,0,0,77
Waterford,,,53,0,0,53
Waterville,,,53,0,0,53
Weathersfield,,,89,0,0,89
Wells,,,35,0,0,35
"W. Fairlee",,,27,0,0,27
"W. Haven",,,10,0,0,10
"W. Rutland",,,68,0,0,68
"W. Windsor",,,40,0,0,40
Westfield,,,18,0,0,18
Westford,,,35,0,0,35
Westminster,-,"Windham Ward 4",10,0,0,10
Westminster,-,"Windham Ward 5",87,0,0,87
Westmore,,,12,0,0,12
Weston,,,30,0,0,30
Weybridge,,,32,0,0,32
Wheelock,,,18,0,0,18
Whiting,,,19,0,0,19
Whitingham,,,65,0,0,65
Williamstown,,,80,0,0,80
Williston,,,169,0,0,169
Wilmington,,,88,0,0,88
Windham,,,17,0,0,17
Windsor,,,94,0,0,94
Winhall,,,39,0,0,39
Winooski,,,61,0,0,61
Wolcott,,,84,0,0,84
Woodbury,,,45,0,0,45
Woodford,,,11,0,0,11
Woodstock,,,93,0,0,93
Worcester,,,47,0,0,47
TOTALS,,,"20,740",0,0,"20,740"
