City/Town,Ward,Pct,"Patsy French","Mike Fiorillo","Gus Meyer",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Braintree,,,55,46,17,2,24,144
Brookfield,,,77,102,22,1,40,242
Granville,,,4,4,4,0,12,24
Randolph,,,310,191,95,6,144,746
TOTALS,,,446,343,138,9,220,"1,156"
