City/Town,Ward,Pct,"Nancy Kirby","Anthony Gierzynski",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,-,"Edmunds Ward 6",17,16,0,11,44
Burlington,-,"M.christi Ward 1",92,83,10,49,234
Burlington,-,"Wheeler Ward 2",38,34,4,14,90
TOTALS,,,147,133,14,74,368
