City/Town,Ward,Pct,"Randy Guy",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,16,0,5,21
Baltimore,,,9,0,0,9
Chester,,,80,5,16,101
Springfield,,,9,0,4,13
TOTALS,,,114,5,25,144
