City/Town,Ward,Pct,"Gaye Symington","Margaret P. Hummel",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,33,34,0,12,79
Jericho,,,173,168,5,72,418
Underhill,,,117,120,0,51,288
TOTALS,,,323,322,5,135,785
