City/Town,Ward,Pct,"Larry Drown",Write-Ins,Blanks,"Total Votes Cast"
Newfane,,,60,0,0,60
"Newport City",,,222,0,0,222
"Newport Town",,,46,0,0,46
"N. Hero",,,58,0,0,58
Northfield,,,63,0,0,63
Norton,,,17,0,0,17
Norwich,,,44,0,0,44
Orange,,,46,0,0,46
Orwell,,,60,0,0,60
Panton,,,63,0,0,63
Pawlet,,,55,0,0,55
Peacham,,,26,0,0,26
Peru,,,24,0,0,24
Pittsfield,,,29,0,0,29
Pittsford,,,119,0,0,119
Plainfield,,,26,0,0,26
Plymouth,,,25,0,0,25
Pomfret,,,35,0,0,35
Poultney,,,100,0,0,100
Pownal,,,77,0,0,77
Proctor,,,58,0,0,58
Putney,,,65,0,0,65
Randolph,,,240,0,0,240
Reading,,,17,0,0,17
Readsboro,,,17,0,0,17
Richford,,,36,0,0,36
Richmond,,,87,0,0,87
Ripton,,,17,0,0,17
Rochester,,,45,0,0,45
Rockingham,,,93,0,0,93
Roxbury,,,11,0,0,11
Royalton,,,104,0,0,104
Rupert,,,37,0,0,37
"Rutland City",-,"Rutland 5-1",221,0,0,221
"Rutland City",-,"Rutland 5-2",147,0,0,147
"Rutland City",-,"Rutland 5-3",89,0,0,89
"Rutland City",-,"Rutland 5-4",193,0,0,193
"Rutland Town",,,372,0,0,372
Ryegate,,,38,0,0,38
Salisbury,,,34,0,0,34
Sandgate,,,15,0,0,15
Searsburg,,,10,0,0,10
Shaftsbury,,,168,0,0,168
Sharon,,,27,0,0,27
Sheffield,,,24,0,0,24
Shelburne,-,"Chittenden 5-1",116,0,0,116
Shelburne,-,"Chittenden 5-2",97,0,0,97
Sheldon,,,34,0,0,34
Shoreham,,,81,0,0,81
Shrewsbury,,,58,0,0,58
"S. Burlington",-,"Chittenden 3-10",65,0,0,65
"S. Burlington",-,"Chittenden 3-7",88,0,0,88
"S. Burlington",-,"Chittenden 3-8",91,0,0,91
"S. Burlington",-,"Chittenden 3-9",94,0,0,94
"S. Hero",,,91,0,0,91
Springfield,-,"Windsor 1-1",6,0,0,6
Springfield,-,"Windsor 1-2",688,0,0,688
"St. Albans City",,,146,0,0,146
"St. Albans Town",,,96,0,0,96
"St. George",,,5,0,0,5
"St. Johnsbury",,,154,0,0,154
Stamford,,,34,0,0,34
Stannard,,,8,0,0,8
Starksboro,,,43,0,0,43
Stockbridge,,,22,0,0,22
Stowe,,,263,0,0,263
Strafford,,,32,0,0,32
Stratton,,,7,0,0,7
Sudbury,,,36,0,0,36
Sunderland,,,17,0,0,17
Sutton,,,70,0,0,70
Swanton,,,167,0,0,167
Thetford,,,55,0,0,55
Tinmouth,,,25,0,0,25
Topsham,,,71,0,0,71
Townshend,,,75,0,0,75
Troy,,,18,0,0,18
Tunbridge,,,62,0,0,62
Underhill,,,78,0,0,78
Vergennes,,,145,0,0,145
Vernon,,,145,0,0,145
Vershire,,,25,0,0,25
Victory,,,7,0,0,7
Waitsfield,,,60,0,0,60
Walden,,,39,0,0,39
Wallingford,,,112,0,0,112
Waltham,,,44,0,0,44
Wardsboro,,,27,0,0,27
Warren,,,35,0,0,35
Washington,,,32,0,0,32
Waterbury,,,74,0,0,74
Waterford,,,52,0,0,52
Waterville,,,53,0,0,53
Weathersfield,,,85,0,0,85
Wells,,,35,0,0,35
"W. Fairlee",,,26,0,0,26
"W. Haven",,,11,0,0,11
"W. Rutland",,,68,0,0,68
"W. Windsor",,,36,0,0,36
Westfield,,,15,0,0,15
Westford,,,36,0,0,36
Westminster,-,"Windham Ward 4",10,0,0,10
Westminster,-,"Windham Ward 5",85,0,0,85
Westmore,,,12,0,0,12
Weston,,,28,0,0,28
Weybridge,,,33,0,0,33
Wheelock,,,17,0,0,17
Whiting,,,17,0,0,17
Whitingham,,,62,0,0,62
Williamstown,,,69,0,0,69
Williston,,,160,0,0,160
Wilmington,,,87,0,0,87
Windham,,,17,0,0,17
Windsor,,,93,0,0,93
Winhall,,,40,0,0,40
Winooski,,,61,0,0,61
Wolcott,,,79,0,0,79
Woodbury,,,45,0,0,45
Woodford,,,11,0,0,11
Woodstock,,,90,0,0,90
Worcester,,,42,0,0,42
TOTALS,,,"19,629",0,0,"19,629"
