City/Town,Ward,Pct,"Doug Racine",Write-Ins,Blanks,"Total Votes Cast"
"Newport City",,,73,0,0,73
"Newport Town",,,15,0,0,15
"N. Hero",,,57,0,0,57
Northfield,,,203,0,0,203
Norton,,,6,0,0,6
Norwich,,,468,0,0,468
Orange,,,14,0,0,14
Orwell,,,40,0,0,40
Panton,,,24,0,0,24
Pawlet,,,42,0,0,42
Peacham,,,48,0,0,48
Peru,,,18,0,0,18
Pittsfield,,,15,0,0,15
Pittsford,,,58,0,0,58
Plainfield,,,69,0,0,69
Plymouth,,,10,0,0,10
Pomfret,,,64,0,0,64
Poultney,,,49,0,0,49
Pownal,,,84,0,0,84
Proctor,,,38,0,0,38
Putney,,,295,0,0,295
Randolph,,,319,0,0,319
Reading,,,20,0,0,20
Readsboro,,,41,0,0,41
Richford,,,57,0,0,57
Richmond,,,190,0,0,190
Ripton,,,40,0,0,40
Rochester,,,70,0,0,70
Rockingham,,,525,0,0,525
Roxbury,,,31,0,0,31
Royalton,,,237,0,0,237
Rupert,,,26,0,0,26
"Rutland City",-,"Rutland 5-1",174,0,0,174
"Rutland City",-,"Rutland 5-2",119,0,0,119
"Rutland City",-,"Rutland 5-3",80,0,0,80
"Rutland City",-,"Rutland 5-4",105,0,0,105
"Rutland Town",,,158,0,0,158
Ryegate,,,38,0,0,38
Salisbury,,,42,0,0,42
Sandgate,,,18,0,0,18
Searsburg,,,6,0,0,6
Shaftsbury,,,126,0,0,126
Sharon,,,71,0,0,71
Sheffield,,,12,0,0,12
Shelburne,-,"Chittenden 5-1",223,0,0,223
Shelburne,-,"Chittenden 5-2",121,0,0,121
Sheldon,,,42,0,0,42
Shoreham,,,47,0,0,47
Shrewsbury,,,37,0,0,37
"S. Burlington",-,"Chittenden 3-10",139,0,0,139
"S. Burlington",-,"Chittenden 3-7",153,0,0,153
"S. Burlington",-,"Chittenden 3-8",162,0,0,162
"S. Burlington",-,"Chittenden 3-9",158,0,0,158
"S. Hero",,,239,0,0,239
Springfield,-,"Windsor 1-1",12,0,0,12
Springfield,-,"Windsor 1-2","1,129",0,0,"1,129"
"St. Albans City",,,286,0,0,286
"St. Albans Town",,,172,0,0,172
"St. George",,,13,0,0,13
"St. Johnsbury",,,97,0,0,97
Stamford,,,40,0,0,40
Stannard,,,11,0,0,11
Starksboro,,,70,0,0,70
Stockbridge,,,23,0,0,23
Stowe,,,96,0,0,96
Strafford,,,89,0,0,89
Stratton,,,3,0,0,3
Sudbury,,,24,0,0,24
Sunderland,,,22,0,0,22
Sutton,,,13,0,0,13
Swanton,,,260,0,0,260
Thetford,,,187,0,0,187
Tinmouth,,,43,0,0,43
Topsham,,,18,0,0,18
Townshend,,,108,0,0,108
Troy,,,21,0,0,21
Tunbridge,,,97,0,0,97
Underhill,,,124,0,0,124
Vergennes,,,54,0,0,54
Vernon,,,68,0,0,68
Vershire,,,45,0,0,45
Victory,,,2,0,0,2
Waitsfield,,,68,0,0,68
Walden,,,27,0,0,27
Wallingford,,,73,0,0,73
Waltham,,,6,0,0,6
Wardsboro,,,56,0,0,56
