City/Town,Ward,Pct,"Paul E. Kendall, Jr",Write-Ins,Blanks,"Total Votes Cast"
,,,
Reading,,,19,0,2,21
Woodstock,,,93,4,21,118
TOTALS,,,112,4,23,139
