City/Town,Ward,Pct,"David Brown",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,246,2,8,256
Stannard,,,10,0,2,12
Walden,,,51,0,3,54
TOTALS,,,307,2,13,322
