City/Town,Ward,Pct,"Bruce Hyde",Write-Ins,Blanks,"Total Votes Cast"
Newfane,,,66,0,0,66
"Newport City",,,222,0,0,222
"Newport Town",,,51,0,0,51
"N. Hero",,,64,0,0,64
Northfield,,,148,0,0,148
Norton,,,18,0,0,18
Norwich,,,43,0,0,43
Orange,,,49,0,0,49
Orwell,,,63,0,0,63
Panton,,,60,0,0,60
Pawlet,,,55,0,0,55
Peacham,,,28,0,0,28
Peru,,,24,0,0,24
Pittsfield,,,28,0,0,28
Pittsford,,,121,0,0,121
Plainfield,,,28,0,0,28
Plymouth,,,23,0,0,23
Pomfret,,,37,0,0,37
Poultney,,,101,0,0,101
Pownal,,,84,0,0,84
Proctor,,,57,0,0,57
Putney,,,62,0,0,62
Randolph,,,244,0,0,244
Reading,,,19,0,0,19
Readsboro,,,18,0,0,18
Richford,,,38,0,0,38
Richmond,,,87,0,0,87
Ripton,,,17,0,0,17
Rochester,,,47,0,0,47
Rockingham,,,91,0,0,91
Roxbury,,,25,0,0,25
Royalton,,,101,0,0,101
Rupert,,,36,0,0,36
"Rutland City",-,"Rutland 5-1",229,0,0,229
"Rutland City",-,"Rutland 5-2",157,0,0,157
"Rutland City",-,"Rutland 5-3",88,0,0,88
"Rutland City",-,"Rutland 5-4",196,0,0,196
"Rutland Town",,,373,0,0,373
Ryegate,,,41,0,0,41
Salisbury,,,34,0,0,34
Sandgate,,,15,0,0,15
Searsburg,,,9,0,0,9
Shaftsbury,,,169,0,0,169
Sharon,,,28,0,0,28
Sheffield,,,24,0,0,24
Shelburne,-,"Chittenden 5-1",129,0,0,129
Shelburne,-,"Chittenden 5-2",103,0,0,103
Sheldon,,,39,0,0,39
Shoreham,,,83,0,0,83
Shrewsbury,,,54,0,0,54
"S. Burlington",-,"Chittenden 3-10",67,0,0,67
"S. Burlington",-,"Chittenden 3-7",93,0,0,93
"S. Burlington",-,"Chittenden 3-8",98,0,0,98
"S. Burlington",-,"Chittenden 3-9",97,0,0,97
"S. Hero",,,112,0,0,112
Springfield,-,"Windsor 1-1",6,0,0,6
Springfield,-,"Windsor 1-2",698,0,0,698
"St. Albans City",,,157,0,0,157
"St. Albans Town",,,104,0,0,104
"St. George",,,5,0,0,5
"St. Johnsbury",,,158,0,0,158
Stamford,,,36,0,0,36
Stannard,,,8,0,0,8
Starksboro,,,45,0,0,45
Stockbridge,,,22,0,0,22
Stowe,,,280,0,0,280
Strafford,,,34,0,0,34
Stratton,,,8,0,0,8
Sudbury,,,38,0,0,38
Sunderland,,,16,0,0,16
Sutton,,,72,0,0,72
Swanton,,,172,0,0,172
Thetford,,,58,0,0,58
Tinmouth,,,24,0,0,24
Topsham,,,76,0,0,76
Townshend,,,76,0,0,76
Troy,,,18,0,0,18
Tunbridge,,,61,0,0,61
Underhill,,,83,0,0,83
Vergennes,,,126,0,0,126
Vernon,,,150,0,0,150
Vershire,,,24,0,0,24
Victory,,,6,0,0,6
Waitsfield,,,66,0,0,66
Walden,,,40,0,0,40
Wallingford,,,114,0,0,114
Waltham,,,47,0,0,47
Wardsboro,,,27,0,0,27
Warren,,,40,0,0,40
Washington,,,33,0,0,33
Waterbury,,,82,0,0,82
Waterford,,,50,0,0,50
Waterville,,,54,0,0,54
Weathersfield,,,84,0,0,84
Wells,,,33,0,0,33
"W. Fairlee",,,28,0,0,28
"W. Haven",,,11,0,0,11
"W. Rutland",,,69,0,0,69
"W. Windsor",,,39,0,0,39
Westfield,,,17,0,0,17
Westford,,,35,0,0,35
Westminster,-,"Windham Ward 4",11,0,0,11
Westminster,-,"Windham Ward 5",90,0,0,90
Westmore,,,12,0,0,12
Weston,,,28,0,0,28
Weybridge,,,32,0,0,32
Wheelock,,,18,0,0,18
Whiting,,,19,0,0,19
Whitingham,,,61,0,0,61
Williamstown,,,80,0,0,80
Williston,,,160,0,0,160
Wilmington,,,88,0,0,88
Windham,,,16,0,0,16
Windsor,,,94,0,0,94
Winhall,,,39,0,0,39
Winooski,,,57,0,0,57
Wolcott,,,86,0,0,86
Woodbury,,,47,0,0,47
Woodford,,,11,0,0,11
Woodstock,,,94,0,0,94
Worcester,,,42,0,0,42
TOTALS,,,"20,506",0,0,"20,506"
