City/Town,Ward,Pct,"Stephanie A. Bourdeau",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,432,17,92,541
Wolcott,,,84,36,15,135
TOTALS,,,516,53,107,676
