City/Town,Ward,Pct,"Neil Randall",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,126,28,18,172
Fairlee,,,34,4,5,43
"W. Fairlee",,,22,0,8,30
TOTALS,,,182,32,31,245
