City/Town,Ward,Pct,"Hardy Machia","Paul G. Cheeseman","Diana L. Palm",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Alburgh,,,49,56,8,4,54,171
"Grand Isle",,,96,56,31,16,119,318
"Isle La Motte",,,12,13,0,0,21,46
Milton,,,20,18,39,0,17,94
"N. Hero",,,45,55,16,6,64,186
"S. Hero",,,99,58,22,16,113,308
TOTALS,,,321,256,116,42,388,"1,123"
