City/Town,Ward,Pct,"Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
Rochester,,,10,0,0,10
Rockingham,,,43,0,0,43
Roxbury,,,5,0,0,5
Royalton,,,16,0,0,16
Rupert,,,8,0,0,8
"Rutland City",-,"Rutland 5-1",13,0,0,13
"Rutland City",-,"Rutland 5-2",28,0,0,28
"Rutland City",-,"Rutland 5-3",8,0,0,8
"Rutland City",-,"Rutland 5-4",7,0,0,7
"Rutland Town",,,17,0,0,17
Ryegate,,,7,0,0,7
Salisbury,,,7,0,0,7
Sandgate,,,2,0,0,2
Shaftsbury,,,18,0,0,18
Sharon,,,6,0,0,6
Sheffield,,,3,0,0,3
Shelburne,-,"Chittenden 5-1",14,0,0,14
Shelburne,-,"Chittenden 5-2",9,0,0,9
Sheldon,,,4,0,0,4
Shoreham,,,5,0,0,5
Shrewsbury,,,5,0,0,5
"S. Burlington",-,"Chittenden 3-10",7,0,0,7
"S. Burlington",-,"Chittenden 3-7",18,0,0,18
"S. Burlington",-,"Chittenden 3-8",18,0,0,18
"S. Burlington",-,"Chittenden 3-9",15,0,0,15
"S. Hero",,,26,0,0,26
Springfield,-,"Windsor 1-1",1,0,0,1
Springfield,-,"Windsor 1-2",40,0,0,40
"St. Albans City",,,20,0,0,20
"St. Albans Town",,,11,0,0,11
"St. George",,,1,0,0,1
"St. Johnsbury",,,5,0,0,5
Stannard,,,5,0,0,5
Stockbridge,,,3,0,0,3
Stowe,,,7,0,0,7
Strafford,,,15,0,0,15
Sudbury,,,2,0,0,2
Sunderland,,,1,0,0,1
Sutton,,,2,0,0,2
Swanton,,,21,0,0,21
Thetford,,,33,0,0,33
Tinmouth,,,3,0,0,3
Topsham,,,3,0,0,3
Townshend,,,14,0,0,14
Troy,,,5,0,0,5
Tunbridge,,,8,0,0,8
Underhill,,,12,0,0,12
Vergennes,,,11,0,0,11
Vernon,,,3,0,0,3
Vershire,,,5,0,0,5
Waitsfield,,,12,0,0,12
Walden,,,6,0,0,6
Wallingford,,,14,0,0,14
Wardsboro,,,7,0,0,7
Warren,,,9,0,0,9
Washington,,,4,0,0,4
Waterbury,,,19,0,0,19
Waterville,,,3,0,0,3
Weathersfield,,,23,0,0,23
Wells,,,1,0,0,1
"W. Fairlee",,,3,0,0,3
"W. Haven",,,2,0,0,2
"W. Rutland",,,7,0,0,7
"W. Windsor",,,8,0,0,8
Westfield,,,3,0,0,3
Westford,,,4,0,0,4
Westminster,-,"Windham Ward 4",0,0,0,0
Westminster,-,"Windham Ward 5",32,0,0,32
Westmore,,,1,0,0,1
Weston,,,3,0,0,3
Weybridge,,,8,0,0,8
Wheelock,,,2,0,0,2
Whiting,,,3,0,0,3
Whitingham,,,9,0,0,9
Williamstown,,,7,0,0,7
Williston,,,14,0,0,14
Wilmington,,,10,0,0,10
Windham,,,9,0,0,9
Windsor,,,23,0,0,23
Winhall,,,4,0,0,4
Winooski,,,18,0,0,18
Wolcott,,,14,0,0,14
Woodbury,,,6,0,0,6
Woodstock,,,15,0,0,15
Worcester,,,14,0,0,14
TOTALS,,,"2,581",0,0,"2,581"
