City/Town,Ward,Pct,"Ira M. Pike",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,42,3,4,49
Chittenden,,,55,0,11,66
Killington,,,95,1,16,112
Mendon,,,74,8,19,101
TOTALS,,,266,12,50,328
