City/Town,Ward,Pct,"Jim Douglas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,135,0,0,135
Albany,,,45,0,0,45
Alburgh,,,70,0,0,70
Andover,,,33,0,0,33
Arlington,,,129,0,0,129
Athens,,,22,0,0,22
Bakersfield,,,15,0,0,15
Baltimore,,,9,0,0,9
Barnard,,,38,0,0,38
Barnet,,,61,0,0,61
"Barre City",-,"Washington 3-1",107,0,0,107
"Barre City",-,"Washington 3-2",71,0,0,71
"Barre City",-,"Washington 3-3",5,0,0,5
"Barre Town",,,370,0,0,370
Barton,-,"Barton Memorial",61,0,0,61
Barton,-,"Orleans Memorial",37,0,0,37
Belvidere,,,36,0,0,36
Bennington,-,"Bennington 2-1",149,0,0,149
Bennington,-,"Bennington 2-1 Nb",24,0,0,24
Bennington,-,"Bennington 2-2",195,0,0,195
Bennington,-,"Bennington 5",8,0,0,8
Benson,,,28,0,0,28
Berkshire,,,25,0,0,25
Berlin,,,74,0,0,74
Bethel,,,89,0,0,89
Bloomfield,,,10,0,0,10
Bolton,,,26,0,0,26
Bradford,,,153,0,0,153
Braintree,,,69,0,0,69
Brandon,,,398,0,0,398
Brattleboro,-,"Windham 3-1",98,0,0,98
Brattleboro,-,"Windham 3-2",83,0,0,83
Brattleboro,-,"Windham 3-3",54,0,0,54
Bridgewater,,,43,0,0,43
Bridport,,,104,0,0,104
Brighton,,,50,0,0,50
Bristol,,,154,0,0,154
Brookfield,,,75,0,0,75
Brookline,,,36,0,0,36
Brownington,,,31,0,0,31
Brunswick,,,8,0,0,8
Burke,,,120,0,0,120
Burlington,-,"Chittenden 3-1 Ward 4",142,0,0,142
Burlington,-,"Chittenden 3-1 Ward 7",56,0,0,56
Burlington,-,"Chittenden 3-2 Ward 2",3,0,0,3
Burlington,-,"Chittenden 3-2 Ward 3",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",32,0,0,32
Burlington,-,"Chittenden 3-2 Ward 7",59,0,0,59
Burlington,-,"Chittenden 3-3 Ward 2",10,0,0,10
Burlington,-,"Chittenden 3-3 Ward 3",27,0,0,27
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",4,0,0,4
Burlington,-,"Chittenden 3-3 Ward 7",6,0,0,6
Burlington,-,"Chittenden 3-4 Ward 1",26,0,0,26
Burlington,-,"Chittenden 3-4 Ward 2",6,0,0,6
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",105,0,0,105
Burlington,-,"Chittenden 3-5 Ward 6",49,0,0,49
Burlington,-,"Chittenden 3-6 Ward 1",10,0,0,10
Cabot,,,19,0,0,19
Calais,,,49,0,0,49
Cambridge,,,137,0,0,137
Canaan,,,56,0,0,56
Castleton,,,131,0,0,131
Cavendish,,,49,0,0,49
Charleston,,,27,0,0,27
Charlotte,,,73,0,0,73
Chelsea,,,126,0,0,126
Chester,,,105,0,0,105
Chittenden,,,57,0,0,57
Clarendon,,,100,0,0,100
Colchester,-,"Chittenden 7-1",102,0,0,102
Colchester,-,"Chittenden 7-2",118,0,0,118
Concord,,,35,0,0,35
Corinth,,,67,0,0,67
Cornwall,,,57,0,0,57
Coventry,,,35,0,0,35
Craftsbury,,,38,0,0,38
Danby,,,80,0,0,80
Danville,,,101,0,0,101
Derby,,,185,0,0,185
Dorset,,,90,0,0,90
Dover,,,134,0,0,134
Dummerston,,,68,0,0,68
Duxbury,,,35,0,0,35
"E. Haven",,,13,0,0,13
"E. Montpelier",,,145,0,0,145
Eden,,,69,0,0,69
Elmore,,,102,0,0,102
Enosburgh,,,29,0,0,29
Essex,-,"Chittenden 6-1",147,0,0,147
Essex,-,"Chittenden 6-2",168,0,0,168
Essex,-,"Chittenden 6-3",38,0,0,38
"Fair Haven",,,106,0,0,106
Fairfax,,,184,0,0,184
Fairfield,,,21,0,0,21
Fairlee,,,37,0,0,37
Fayston,,,29,0,0,29
Ferrisburgh,,,239,0,0,239
Fletcher,,,15,0,0,15
Franklin,,,42,0,0,42
Georgia,,,223,0,0,223
Glover,,,62,0,0,62
Goshen,,,26,0,0,26
Grafton,,,25,0,0,25
Granby,,,20,0,0,20
"Grand Isle",,,131,0,0,131
Granville,,,8,0,0,8
Greensboro,,,23,0,0,23
Groton,,,77,0,0,77
Guildhall,,,27,0,0,27
Guilford,,,57,0,0,57
Halifax,,,37,0,0,37
Hancock,,,25,0,0,25
Hardwick,,,213,0,0,213
Hartford,-,"Windsor 6-1",114,0,0,114
Hartford,-,"Windsor 6-2",297,0,0,297
Hartland,,,136,0,0,136
Highgate,,,63,0,0,63
Hinesburg,-,"Chittenden 1-1",72,0,0,72
Hinesburg,-,"Chittenden 1-2",3,0,0,3
Holland,,,25,0,0,25
Hubbardton,,,19,0,0,19
Huntington,,,24,0,0,24
"Hyde Park",,,386,0,0,386
Ira,-,"Rutland 1-1",23,0,0,23
Ira,-,"Rutland 1-2",1,0,0,1
Irasburg,,,65,0,0,65
"Isle La Motte",,,20,0,0,20
Jamaica,,,39,0,0,39
Jay,,,10,0,0,10
Jericho,,,123,0,0,123
Johnson,,,205,0,0,205
Killington,,,93,0,0,93
Kirby,,,38,0,0,38
Landgrove,,,12,0,0,12
Leicester,,,68,0,0,68
Lemington,,,15,0,0,15
Lincoln,,,83,0,0,83
Londonderry,,,43,0,0,43
Lowell,,,19,0,0,19
Ludlow,,,67,0,0,67
Lunenburg,,,47,0,0,47
Lyndon,,,425,0,0,425
Maidstone,,,13,0,0,13
Manchester,,,182,0,0,182
Marlboro,,,21,0,0,21
Marshfield,,,30,0,0,30
Mendon,,,90,0,0,90
Middlebury,,,216,0,0,216
Middlesex,,,89,0,0,89
"Middletown Springs",,,58,0,0,58
Milton,-,"Chittenden 9",175,0,0,175
Milton,-,"Grand Isle-Chittenden 1-1",43,0,0,43
Monkton,,,61,0,0,61
Montgomery,,,17,0,0,17
Montpelier,,,228,0,0,228
Moretown,,,61,0,0,61
Morgan,,,50,0,0,50
Morristown,,,582,0,0,582
"Mount Holly",,,54,0,0,54
"Mount Tabor",,,6,0,0,6
"New Haven",,,176,0,0,176
Newark,,,24,0,0,24
Newbury,-,"Center Town House",26,0,0,26
