City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,128,0,0,128
Albany,,,49,0,0,49
Alburgh,,,73,0,0,73
Andover,,,31,0,0,31
Arlington,,,124,0,0,124
Athens,,,21,0,0,21
Bakersfield,,,14,0,0,14
Baltimore,,,8,0,0,8
Barnard,,,37,0,0,37
Barnet,,,56,0,0,56
"Barre City",-,"Washington 3-1",104,0,0,104
"Barre City",-,"Washington 3-2",71,0,0,71
"Barre City",-,"Washington 3-3",4,0,0,4
"Barre Town",,,376,0,0,376
Barton,-,"Barton Memorial",58,0,0,58
Barton,-,"Orleans Memorial",36,0,0,36
Belvidere,,,36,0,0,36
Bennington,-,"Bennington 2-1",144,0,0,144
Bennington,-,"Bennington 2-1 Nb",21,0,0,21
Bennington,-,"Bennington 2-2",163,0,0,163
Bennington,-,"Bennington 5",7,0,0,7
Benson,,,24,0,0,24
Berkshire,,,26,0,0,26
Berlin,,,78,0,0,78
Bethel,,,88,0,0,88
Bloomfield,,,11,0,0,11
Bolton,,,30,0,0,30
Bradford,,,152,0,0,152
Braintree,,,64,0,0,64
Brandon,,,352,0,0,352
Brattleboro,-,"Windham 3-1",95,0,0,95
Brattleboro,-,"Windham 3-2",72,0,0,72
Brattleboro,-,"Windham 3-3",51,0,0,51
Bridgewater,,,35,0,0,35
Bridport,,,94,0,0,94
Brighton,,,52,0,0,52
Bristol,,,156,0,0,156
Brookfield,,,74,0,0,74
Brookline,,,32,0,0,32
Brownington,,,29,0,0,29
Brunswick,,,8,0,0,8
Burke,,,105,0,0,105
Burlington,-,"Chittenden 3-1 Ward 4",147,0,0,147
Burlington,-,"Chittenden 3-1 Ward 7",55,0,0,55
Burlington,-,"Chittenden 3-2 Ward 2",4,0,0,4
Burlington,-,"Chittenden 3-2 Ward 3",1,0,0,1
Burlington,-,"Chittenden 3-2 Ward 4",32,0,0,32
Burlington,-,"Chittenden 3-2 Ward 7",63,0,0,63
Burlington,-,"Chittenden 3-3 Ward 2",9,0,0,9
Burlington,-,"Chittenden 3-3 Ward 3",28,0,0,28
Burlington,-,"Chittenden 3-3 Ward 5",3,0,0,3
Burlington,-,"Chittenden 3-3 Ward 6",4,0,0,4
Burlington,-,"Chittenden 3-3 Ward 7",7,0,0,7
Burlington,-,"Chittenden 3-4 Ward 1",27,0,0,27
Burlington,-,"Chittenden 3-4 Ward 2",5,0,0,5
Burlington,-,"Chittenden 3-4 Ward 6",3,0,0,3
Burlington,-,"Chittenden 3-5 Ward 5",98,0,0,98
Burlington,-,"Chittenden 3-5 Ward 6",53,0,0,53
Burlington,-,"Chittenden 3-6 Ward 1",11,0,0,11
Cabot,,,18,0,0,18
Calais,,,50,0,0,50
Cambridge,,,137,0,0,137
Canaan,,,55,0,0,55
Castleton,,,129,0,0,129
Cavendish,,,46,0,0,46
Charleston,,,26,0,0,26
Charlotte,,,75,0,0,75
Chelsea,,,118,0,0,118
Chester,,,100,0,0,100
Chittenden,,,53,0,0,53
Clarendon,,,96,0,0,96
Colchester,-,"Chittenden 7-1",101,0,0,101
Colchester,-,"Chittenden 7-2",116,0,0,116
Concord,,,33,0,0,33
Corinth,,,64,0,0,64
Cornwall,,,45,0,0,45
Coventry,,,34,0,0,34
Craftsbury,,,33,0,0,33
Danby,,,76,0,0,76
Danville,,,97,0,0,97
Derby,,,167,0,0,167
Dorset,,,84,0,0,84
Dover,,,128,0,0,128
Dummerston,,,63,0,0,63
Duxbury,,,32,0,0,32
"E. Haven",,,11,0,0,11
"E. Montpelier",,,148,0,0,148
Eden,,,69,0,0,69
Elmore,,,102,0,0,102
Enosburgh,,,30,0,0,30
Essex,-,"Chittenden 6-1",158,0,0,158
Essex,-,"Chittenden 6-2",184,0,0,184
Essex,-,"Chittenden 6-3",38,0,0,38
"Fair Haven",,,105,0,0,105
Fairfax,,,188,0,0,188
Fairfield,,,22,0,0,22
Fairlee,,,39,0,0,39
Fayston,,,30,0,0,30
Ferrisburgh,,,228,0,0,228
Fletcher,,,17,0,0,17
Franklin,,,41,0,0,41
Georgia,,,220,0,0,220
Glover,,,57,0,0,57
Goshen,,,25,0,0,25
Grafton,,,25,0,0,25
Granby,,,17,0,0,17
"Grand Isle",,,133,0,0,133
Granville,,,7,0,0,7
Greensboro,,,25,0,0,25
Groton,,,74,0,0,74
Guildhall,,,23,0,0,23
Guilford,,,54,0,0,54
Halifax,,,35,0,0,35
Hancock,,,21,0,0,21
Hardwick,,,200,0,0,200
