City/Town,Ward,Pct,"Sylvia R. Kennedy","Philip C. Winters",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,123,115,2,48,288
Corinth,,,59,44,2,41,146
Orange,,,46,51,1,26,124
Vershire,,,29,20,1,14,64
Washington,,,42,32,1,13,88
Williamstown,,,73,94,0,35,202
TOTALS,,,372,356,7,177,912
