City/Town,Ward,Pct,"Cola H. Hudson","Howard Crawford","Leo Denby",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Burke,,,139,128,30,2,15,314
Lyndon,,,448,378,125,2,79,"1,032"
Sutton,,,86,78,24,0,12,200
TOTALS,,,673,584,179,4,106,"1,546"
