City/Town,Ward,Pct,"Robert Helm","David Rogers",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Castleton,,,119,117,5,47,288
"Fair Haven",,,0,0,5,45,50
Hubbardton,,,20,20,2,2,44
"W. Haven",,,9,10,0,5,24
TOTALS,,,148,147,12,99,406
