City/Town,Ward,Pct,"Jennifer B. Wallace-Brodeur","Bill Aswad",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,-,"Hunt Ward 7",94,82,4,14,194
Burlington,-,"St. Marks Ward 4",223,233,6,52,514
TOTALS,,,317,315,10,66,708
