City/Town,Ward,Pct,"Philip E. Bartlett","Robert W. Baral",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Dover,,,127,25,0,4,156
Readsboro,,,16,12,0,1,29
Searsburg,,,5,6,0,0,11
Stamford,,,15,28,0,6,49
Wardsboro,,,34,7,0,1,42
TOTALS,,,197,78,0,12,287
